Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
C2C_TS1,Chrome 113.0.0.0,,,2023-05-17 17:46:25,2023-05-17 17:50:01,3m - 35.241s,PASSED
,,,,,,,
Test Cases/Login - Demo,Chrome 113.0.0.0,,,2023-05-17 17:46:26,2023-05-17 17:47:05,39.317s,PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-17 17:46:26,2023-05-17 17:46:29,2.891s,PASSED
"navigateToUrl(""https://qa.c2cassets.com/doctor/login"")",Chrome 113.0.0.0,,,2023-05-17 17:46:29,2023-05-17 17:46:51,21.528s,PASSED
takeScreenshot(),Chrome 113.0.0.0,,,2023-05-17 17:46:51,2023-05-17 17:46:51,0.659s,PASSED
"setText(findTestObject(""Object Repository/Page_Connect2Clinic/input_Login to Virtual Clinic_OTP-input""), ""8072536860"")",Chrome 113.0.0.0,,,2023-05-17 17:46:51,2023-05-17 17:46:52,0.903s,PASSED
"click(findTestObject(""Object Repository/Page_Connect2Clinic/button_Continue""))",Chrome 113.0.0.0,,,2023-05-17 17:46:52,2023-05-17 17:46:53,0.582s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Connect2Clinic/input_Edit_password-input""), ""aeHFOx8jV/A="")",Chrome 113.0.0.0,,,2023-05-17 17:46:53,2023-05-17 17:46:54,1.313s,PASSED
"click(findTestObject(""Object Repository/Page_Connect2Clinic/button_Login""))",Chrome 113.0.0.0,,,2023-05-17 17:46:54,2023-05-17 17:46:55,0.434s,PASSED
"click(findTestObject(""Object Repository/Page_Connect2Clinic/button_No""))",Chrome 113.0.0.0,,,2023-05-17 17:46:55,2023-05-17 17:46:58,3.697s,PASSED
takeScreenshot(),Chrome 113.0.0.0,,,2023-05-17 17:46:58,2023-05-17 17:46:59,1.043s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Connect2Clinic/p_Dr.Rakshana V""))",Chrome 113.0.0.0,,,2023-05-17 17:46:59,2023-05-17 17:47:00,0.429s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Connect2Clinic/span_Bangalore Clinic""))",Chrome 113.0.0.0,,,2023-05-17 17:47:00,2023-05-17 17:47:00,0.436s,PASSED
"click(findTestObject(""Object Repository/Page_Connect2Clinic/svg_Delhi_MuiSvgIcon-root doctor-info-home-icon""))",Chrome 113.0.0.0,,,2023-05-17 17:47:00,2023-05-17 17:47:01,0.509s,PASSED
"click(findTestObject(""Object Repository/Page_Connect2Clinic/div_My Account""))",Chrome 113.0.0.0,,,2023-05-17 17:47:01,2023-05-17 17:47:01,0.728s,PASSED
"click(findTestObject(""Object Repository/Page_Connect2Clinic/a_Logout""))",Chrome 113.0.0.0,,,2023-05-17 17:47:01,2023-05-17 17:47:04,2.235s,PASSED
takeScreenshot(),Chrome 113.0.0.0,,,2023-05-17 17:47:04,2023-05-17 17:47:04,0.585s,PASSED
closeBrowser(),Chrome 113.0.0.0,,,2023-05-17 17:47:04,2023-05-17 17:47:05,0.830s,PASSED
,,,,,,,
Test Cases/Book Appointment - Demo,Chrome 113.0.0.0,,,2023-05-17 17:47:05,2023-05-17 17:47:40,34.672s,PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-17 17:47:05,2023-05-17 17:47:07,1.265s,PASSED
maximizeWindow(),Chrome 113.0.0.0,,,2023-05-17 17:47:07,2023-05-17 17:47:07,0.169s,PASSED
"navigateToUrl(""https://qa.c2cassets.com/doctor/login"")",Chrome 113.0.0.0,,,2023-05-17 17:47:07,2023-05-17 17:47:11,3.872s,PASSED
"setText(findTestObject(""Object Repository/Page_Connect2Clinic/input_Login to Virtual Clinic_OTP-input""), ""8072536860"")",Chrome 113.0.0.0,,,2023-05-17 17:47:11,2023-05-17 17:47:12,0.811s,PASSED
"click(findTestObject(""Object Repository/Page_Connect2Clinic/button_Continue""))",Chrome 113.0.0.0,,,2023-05-17 17:47:12,2023-05-17 17:47:12,0.517s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Connect2Clinic/input_Edit_password-input""), ""aeHFOx8jV/A="")",Chrome 113.0.0.0,,,2023-05-17 17:47:12,2023-05-17 17:47:13,1.283s,PASSED
"click(findTestObject(""Object Repository/Page_Connect2Clinic/button_Login""))",Chrome 113.0.0.0,,,2023-05-17 17:47:13,2023-05-17 17:47:14,0.416s,PASSED
"click(findTestObject(""Object Repository/Page_Connect2Clinic/button_No""))",Chrome 113.0.0.0,,,2023-05-17 17:47:14,2023-05-17 17:47:17,3.637s,PASSED
"click(findTestObject(""Object Repository/Page_Connect2Clinic/button_Book Appointment""))",Chrome 113.0.0.0,,,2023-05-17 17:47:17,2023-05-17 17:47:18,0.976s,PASSED
"click(findTestObject(""Object Repository/Page_Connect2Clinic/p_In-Clinic Consultation""))",Chrome 113.0.0.0,,,2023-05-17 17:47:18,2023-05-17 17:47:19,0.556s,PASSED
delay(5),Chrome 113.0.0.0,,,2023-05-17 17:47:19,2023-05-17 17:47:24,5.049s,PASSED
"scrollToPosition(0, 0)",Chrome 113.0.0.0,,,2023-05-17 17:47:24,2023-05-17 17:47:24,0.038s,PASSED
