Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
C2C_TS1,Firefox 113.0,,,2023-05-17 10:02:51,2023-05-17 10:03:50,59.498s,PASSED
,,,,,,,
Test Cases/Login - Demo,Firefox 113.0,,,2023-05-17 10:02:51,2023-05-17 10:03:14,22.783s,PASSED
"openBrowser("""")",Firefox 113.0,,,2023-05-17 10:02:52,2023-05-17 10:02:56,4.561s,PASSED
takeScreenshot(),Firefox 113.0,,,2023-05-17 10:02:56,2023-05-17 10:02:56,0.385s,PASSED
"navigateToUrl(""https://qa.c2cassets.com/doctor/login"")",Firefox 113.0,,,2023-05-17 10:02:56,2023-05-17 10:03:00,3.922s,PASSED
"setText(findTestObject(""Object Repository/Page_Connect2Clinic/input_Login to Virtual Clinic_OTP-input""), ""8072536860"")",Firefox 113.0,,,2023-05-17 10:03:00,2023-05-17 10:03:01,0.779s,PASSED
"click(findTestObject(""Object Repository/Page_Connect2Clinic/button_Continue""))",Firefox 113.0,,,2023-05-17 10:03:01,2023-05-17 10:03:02,0.730s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Connect2Clinic/input_Edit_password-input""), ""aeHFOx8jV/A="")",Firefox 113.0,,,2023-05-17 10:03:02,2023-05-17 10:03:03,1.195s,PASSED
"click(findTestObject(""Object Repository/Page_Connect2Clinic/button_Login""))",Firefox 113.0,,,2023-05-17 10:03:03,2023-05-17 10:03:04,0.678s,PASSED
"click(findTestObject(""Object Repository/Page_Connect2Clinic/button_No""))",Firefox 113.0,,,2023-05-17 10:03:04,2023-05-17 10:03:07,3.262s,PASSED
takeScreenshot(),Firefox 113.0,,,2023-05-17 10:03:07,2023-05-17 10:03:08,0.803s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Connect2Clinic/p_Dr.Rakshana V""))",Firefox 113.0,,,2023-05-17 10:03:08,2023-05-17 10:03:08,0.374s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Connect2Clinic/span_Bangalore Clinic""))",Firefox 113.0,,,2023-05-17 10:03:08,2023-05-17 10:03:09,0.344s,PASSED
"click(findTestObject(""Object Repository/Page_Connect2Clinic/svg_Delhi_MuiSvgIcon-root doctor-info-home-icon""))",Firefox 113.0,,,2023-05-17 10:03:09,2023-05-17 10:03:09,0.670s,PASSED
