Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
C2C_TS1,Firefox 113.0,,,2023-05-17 11:31:09,2023-05-17 11:35:12,4m - 2.469s,PASSED
,,,,,,,
Test Cases/Login - Demo,Firefox 113.0,,,2023-05-17 11:31:10,2023-05-17 11:31:35,24.948s,PASSED
"openBrowser("""")",Firefox 113.0,,,2023-05-17 11:31:10,2023-05-17 11:31:16,5.502s,PASSED
"navigateToUrl(""https://qa.c2cassets.com/doctor/login"")",Firefox 113.0,,,2023-05-17 11:31:16,2023-05-17 11:31:20,4.174s,PASSED
takeScreenshot(),Firefox 113.0,,,2023-05-17 11:31:20,2023-05-17 11:31:21,0.614s,PASSED
"setText(findTestObject(""Object Repository/Page_Connect2Clinic/input_Login to Virtual Clinic_OTP-input""), ""8072536860"")",Firefox 113.0,,,2023-05-17 11:31:21,2023-05-17 11:31:21,0.810s,PASSED
"click(findTestObject(""Object Repository/Page_Connect2Clinic/button_Continue""))",Firefox 113.0,,,2023-05-17 11:31:21,2023-05-17 11:31:22,0.755s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Connect2Clinic/input_Edit_password-input""), ""aeHFOx8jV/A="")",Firefox 113.0,,,2023-05-17 11:31:22,2023-05-17 11:31:23,1.106s,PASSED
"click(findTestObject(""Object Repository/Page_Connect2Clinic/button_Login""))",Firefox 113.0,,,2023-05-17 11:31:23,2023-05-17 11:31:24,0.708s,PASSED
"click(findTestObject(""Object Repository/Page_Connect2Clinic/button_No""))",Firefox 113.0,,,2023-05-17 11:31:24,2023-05-17 11:31:27,3.326s,PASSED
takeScreenshot(),Firefox 113.0,,,2023-05-17 11:31:27,2023-05-17 11:31:28,0.804s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Connect2Clinic/p_Dr.Rakshana V""))",Firefox 113.0,,,2023-05-17 11:31:28,2023-05-17 11:31:29,0.407s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Connect2Clinic/span_Bangalore Clinic""))",Firefox 113.0,,,2023-05-17 11:31:29,2023-05-17 11:31:29,0.385s,PASSED
"click(findTestObject(""Object Repository/Page_Connect2Clinic/svg_Delhi_MuiSvgIcon-root doctor-info-home-icon""))",Firefox 113.0,,,2023-05-17 11:31:29,2023-05-17 11:31:30,0.733s,PASSED
"click(findTestObject(""Object Repository/Page_Connect2Clinic/div_My Account""))",Firefox 113.0,,,2023-05-17 11:31:30,2023-05-17 11:31:30,0.787s,PASSED
"click(findTestObject(""Object Repository/Page_Connect2Clinic/a_Logout""))",Firefox 113.0,,,2023-05-17 11:31:30,2023-05-17 11:31:33,2.382s,PASSED
takeScreenshot(),Firefox 113.0,,,2023-05-17 11:31:33,2023-05-17 11:31:34,0.655s,PASSED
closeBrowser(),Firefox 113.0,,,2023-05-17 11:31:34,2023-05-17 11:31:35,1.289s,PASSED
,,,,,,,
Test Cases/Book Appointment - Demo,Firefox 113.0,,,2023-05-17 11:31:35,2023-05-17 11:32:14,39.630s,PASSED
"openBrowser("""")",Firefox 113.0,,,2023-05-17 11:31:35,2023-05-17 11:31:39,3.723s,PASSED
maximizeWindow(),Firefox 113.0,,,2023-05-17 11:31:39,2023-05-17 11:31:39,0.045s,PASSED
"navigateToUrl(""https://qa.c2cassets.com/doctor/login"")",Firefox 113.0,,,2023-05-17 11:31:39,2023-05-17 11:31:43,4.072s,PASSED
"setText(findTestObject(""Object Repository/Page_Connect2Clinic/input_Login to Virtual Clinic_OTP-input""), ""8072536860"")",Firefox 113.0,,,2023-05-17 11:31:43,2023-05-17 11:31:44,0.741s,PASSED
"click(findTestObject(""Object Repository/Page_Connect2Clinic/button_Continue""))",Firefox 113.0,,,2023-05-17 11:31:44,2023-05-17 11:31:45,0.715s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Connect2Clinic/input_Edit_password-input""), ""aeHFOx8jV/A="")",Firefox 113.0,,,2023-05-17 11:31:45,2023-05-17 11:31:46,1.065s,PASSED
