Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
C2C_TS1,Firefox 113.0,,,2023-05-17 11:25:29,2023-05-17 11:28:44,3m - 15.111s,PASSED
,,,,,,,
Test Cases/Login - Demo,Firefox 113.0,,,2023-05-17 11:25:30,2023-05-17 11:25:55,25.002s,PASSED
"openBrowser("""")",Firefox 113.0,,,2023-05-17 11:25:30,2023-05-17 11:25:35,4.611s,PASSED
"navigateToUrl(""https://qa.c2cassets.com/doctor/login"")",Firefox 113.0,,,2023-05-17 11:25:35,2023-05-17 11:25:39,4.539s,PASSED
takeScreenshot(),Firefox 113.0,,,2023-05-17 11:25:39,2023-05-17 11:25:40,0.782s,PASSED
"setText(findTestObject(""Object Repository/Page_Connect2Clinic/input_Login to Virtual Clinic_OTP-input""), ""8072536860"")",Firefox 113.0,,,2023-05-17 11:25:40,2023-05-17 11:25:41,0.865s,PASSED
"click(findTestObject(""Object Repository/Page_Connect2Clinic/button_Continue""))",Firefox 113.0,,,2023-05-17 11:25:41,2023-05-17 11:25:42,0.789s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Connect2Clinic/input_Edit_password-input""), ""aeHFOx8jV/A="")",Firefox 113.0,,,2023-05-17 11:25:42,2023-05-17 11:25:43,1.175s,PASSED
"click(findTestObject(""Object Repository/Page_Connect2Clinic/button_Login""))",Firefox 113.0,,,2023-05-17 11:25:43,2023-05-17 11:25:44,0.700s,PASSED
"click(findTestObject(""Object Repository/Page_Connect2Clinic/button_No""))",Firefox 113.0,,,2023-05-17 11:25:44,2023-05-17 11:25:48,4.150s,PASSED
takeScreenshot(),Firefox 113.0,,,2023-05-17 11:25:48,2023-05-17 11:25:49,0.816s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Connect2Clinic/p_Dr.Rakshana V""))",Firefox 113.0,,,2023-05-17 11:25:49,2023-05-17 11:25:49,0.421s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Connect2Clinic/span_Bangalore Clinic""))",Firefox 113.0,,,2023-05-17 11:25:49,2023-05-17 11:25:49,0.399s,PASSED
"click(findTestObject(""Object Repository/Page_Connect2Clinic/svg_Delhi_MuiSvgIcon-root doctor-info-home-icon""))",Firefox 113.0,,,2023-05-17 11:25:49,2023-05-17 11:25:50,0.766s,PASSED
"click(findTestObject(""Object Repository/Page_Connect2Clinic/div_My Account""))",Firefox 113.0,,,2023-05-17 11:25:50,2023-05-17 11:25:51,0.913s,PASSED
"click(findTestObject(""Object Repository/Page_Connect2Clinic/a_Logout""))",Firefox 113.0,,,2023-05-17 11:25:51,2023-05-17 11:25:53,2.004s,PASSED
takeScreenshot(),Firefox 113.0,,,2023-05-17 11:25:53,2023-05-17 11:25:54,0.674s,PASSED
closeBrowser(),Firefox 113.0,,,2023-05-17 11:25:54,2023-05-17 11:25:55,0.983s,PASSED
,,,,,,,
Test Cases/Book Appointment - Demo,Firefox 113.0,,,2023-05-17 11:25:55,2023-05-17 11:26:39,44.180s,PASSED
"openBrowser("""")",Firefox 113.0,,,2023-05-17 11:25:55,2023-05-17 11:25:58,3.240s,PASSED
maximizeWindow(),Firefox 113.0,,,2023-05-17 11:25:58,2023-05-17 11:25:58,0.029s,PASSED
"navigateToUrl(""https://qa.c2cassets.com/doctor/login"")",Firefox 113.0,,,2023-05-17 11:25:58,2023-05-17 11:26:04,5.496s,PASSED
"setText(findTestObject(""Object Repository/Page_Connect2Clinic/input_Login to Virtual Clinic_OTP-input""), ""8072536860"")",Firefox 113.0,,,2023-05-17 11:26:04,2023-05-17 11:26:04,0.714s,PASSED
"click(findTestObject(""Object Repository/Page_Connect2Clinic/button_Continue""))",Firefox 113.0,,,2023-05-17 11:26:04,2023-05-17 11:26:05,0.684s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Connect2Clinic/input_Edit_password-input""), ""aeHFOx8jV/A="")",Firefox 113.0,,,2023-05-17 11:26:05,2023-05-17 11:26:06,1.023s,PASSED
"click(findTestObject(""Object Repository/Page_Connect2Clinic/button_Login""))",Firefox 113.0,,,2023-05-17 11:26:06,2023-05-17 11:26:07,0.669s,PASSED
"click(findTestObject(""Object Repository/Page_Connect2Clinic/button_No""))",Firefox 113.0,,,2023-05-17 11:26:07,2023-05-17 11:26:12,5.310s,PASSED
"click(findTestObject(""Object Repository/Page_Connect2Clinic/button_Book Appointment""))",Firefox 113.0,,,2023-05-17 11:26:12,2023-05-17 11:26:13,0.980s,PASSED
"click(findTestObject(""Object Repository/Page_Connect2Clinic/p_In-Clinic Consultation""))",Firefox 113.0,,,2023-05-17 11:26:13,2023-05-17 11:26:14,0.656s,PASSED
delay(5),Firefox 113.0,,,2023-05-17 11:26:14,2023-05-17 11:26:19,5.058s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Connect2Clinic/button_Save  Continue""))",Firefox 113.0,,,2023-05-17 11:26:19,2023-05-17 11:26:19,0.481s,PASSED
"click(findTestObject(""Object Repository/Page_Connect2Clinic/button_Save  Continue""))",Firefox 113.0,,,2023-05-17 11:26:19,2023-05-17 11:26:20,0.674s,PASSED
"setText(findTestObject(""Object Repository/Page_Connect2Clinic/input_Mobile Number_patient_no""), ""8919396555"")",Firefox 113.0,,,2023-05-17 11:26:20,2023-05-17 11:26:22,1.855s,PASSED
delay(3),Firefox 113.0,,,2023-05-17 11:26:22,2023-05-17 11:26:25,3.010s,PASSED
"click(findTestObject(""Object Repository/Page_Connect2Clinic/h5_Sai""))",Firefox 113.0,,,2023-05-17 11:26:25,2023-05-17 11:26:26,0.668s,PASSED
"scrollToPosition(9999999, 9999999)",Firefox 113.0,,,2023-05-17 11:26:26,2023-05-17 11:26:26,0.051s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Connect2Clinic/button_Save  Continue""))",Firefox 113.0,,,2023-05-17 11:26:26,2023-05-17 11:26:26,0.805s,PASSED
"click(findTestObject(""Object Repository/Page_Connect2Clinic/button_Save  Continue""))",Firefox 113.0,,,2023-05-17 11:26:26,2023-05-17 11:26:27,0.653s,PASSED
"click(findTestObject(""Object Repository/Page_Connect2Clinic/button_Pay at Clinic""))",Firefox 113.0,,,2023-05-17 11:26:27,2023-05-17 11:26:32,5.190s,PASSED
"click(findTestObject(""Object Repository/Page_Connect2Clinic/button_Proceed""))",Firefox 113.0,,,2023-05-17 11:26:32,2023-05-17 11:26:33,0.609s,PASSED
delay(5),Firefox 113.0,,,2023-05-17 11:26:33,2023-05-17 11:26:38,5.008s,PASSED
closeBrowser(),Firefox 113.0,,,2023-05-17 11:26:38,2023-05-17 11:26:39,0.972s,PASSED
,,,,,,,
Test Cases/Cancel Appointment - Demo,Firefox 113.0,,,2023-05-17 11:26:39,2023-05-17 11:27:13,34.282s,PASSED
"openBrowser("""")",Firefox 113.0,,,2023-05-17 11:26:39,2023-05-17 11:26:43,3.468s,PASSED
maximizeWindow(),Firefox 113.0,,,2023-05-17 11:26:43,2023-05-17 11:26:43,0.014s,PASSED
"navigateToUrl(""https://qa.c2cassets.com/doctor/login"")",Firefox 113.0,,,2023-05-17 11:26:43,2023-05-17 11:26:47,4.739s,PASSED
"setText(findTestObject(""Object Repository/Page_Connect2Clinic/input_Login to Virtual Clinic_OTP-input""), ""8072536860"")",Firefox 113.0,,,2023-05-17 11:26:47,2023-05-17 11:26:48,0.681s,PASSED
