Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
C2C_TS1,Firefox 113.0,,,2023-05-17 11:04:38,2023-05-17 11:07:43,3m - 5.279s,FAILED
,,,,,,,
Test Cases/Login - Demo,Firefox 113.0,,,2023-05-17 11:04:38,2023-05-17 11:05:02,23.766s,PASSED
"openBrowser("""")",Firefox 113.0,,,2023-05-17 11:04:39,2023-05-17 11:04:43,4.541s,PASSED
"navigateToUrl(""https://qa.c2cassets.com/doctor/login"")",Firefox 113.0,,,2023-05-17 11:04:43,2023-05-17 11:04:47,4.189s,PASSED
takeScreenshot(),Firefox 113.0,,,2023-05-17 11:04:47,2023-05-17 11:04:48,0.639s,PASSED
"setText(findTestObject(""Object Repository/Page_Connect2Clinic/input_Login to Virtual Clinic_OTP-input""), ""8072536860"")",Firefox 113.0,,,2023-05-17 11:04:48,2023-05-17 11:04:49,0.773s,PASSED
"click(findTestObject(""Object Repository/Page_Connect2Clinic/button_Continue""))",Firefox 113.0,,,2023-05-17 11:04:49,2023-05-17 11:04:49,0.762s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Connect2Clinic/input_Edit_password-input""), ""aeHFOx8jV/A="")",Firefox 113.0,,,2023-05-17 11:04:49,2023-05-17 11:04:50,1.023s,PASSED
"click(findTestObject(""Object Repository/Page_Connect2Clinic/button_Login""))",Firefox 113.0,,,2023-05-17 11:04:50,2023-05-17 11:04:51,0.718s,PASSED
"click(findTestObject(""Object Repository/Page_Connect2Clinic/button_No""))",Firefox 113.0,,,2023-05-17 11:04:51,2023-05-17 11:04:55,3.657s,PASSED
takeScreenshot(),Firefox 113.0,,,2023-05-17 11:04:55,2023-05-17 11:04:56,0.755s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Connect2Clinic/p_Dr.Rakshana V""))",Firefox 113.0,,,2023-05-17 11:04:56,2023-05-17 11:04:56,0.488s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Connect2Clinic/span_Bangalore Clinic""))",Firefox 113.0,,,2023-05-17 11:04:56,2023-05-17 11:04:57,0.423s,PASSED
"click(findTestObject(""Object Repository/Page_Connect2Clinic/svg_Delhi_MuiSvgIcon-root doctor-info-home-icon""))",Firefox 113.0,,,2023-05-17 11:04:57,2023-05-17 11:04:57,0.750s,PASSED
"click(findTestObject(""Object Repository/Page_Connect2Clinic/div_My Account""))",Firefox 113.0,,,2023-05-17 11:04:57,2023-05-17 11:04:58,0.860s,PASSED
"click(findTestObject(""Object Repository/Page_Connect2Clinic/a_Logout""))",Firefox 113.0,,,2023-05-17 11:04:58,2023-05-17 11:05:00,2.081s,PASSED
takeScreenshot(),Firefox 113.0,,,2023-05-17 11:05:00,2023-05-17 11:05:01,0.648s,PASSED
closeBrowser(),Firefox 113.0,,,2023-05-17 11:05:01,2023-05-17 11:05:02,1.022s,PASSED
,,,,,,,
Test Cases/Book Appointment - Demo,Firefox 113.0,,,2023-05-17 11:05:02,2023-05-17 11:06:15,1m - 12.647s,FAILED
"openBrowser("""")",Firefox 113.0,,,2023-05-17 11:05:02,2023-05-17 11:05:06,3.390s,PASSED
maximizeWindow(),Firefox 113.0,,,2023-05-17 11:05:06,2023-05-17 11:05:06,0.031s,PASSED
"navigateToUrl(""https://qa.c2cassets.com/doctor/login"")",Firefox 113.0,,,2023-05-17 11:05:06,2023-05-17 11:05:11,4.972s,PASSED
"setText(findTestObject(""Object Repository/Page_Connect2Clinic/input_Login to Virtual Clinic_OTP-input""), ""8072536860"")",Firefox 113.0,,,2023-05-17 11:05:11,2023-05-17 11:05:11,0.692s,PASSED
"click(findTestObject(""Object Repository/Page_Connect2Clinic/button_Continue""))",Firefox 113.0,,,2023-05-17 11:05:11,2023-05-17 11:05:12,0.707s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Connect2Clinic/input_Edit_password-input""), ""aeHFOx8jV/A="")",Firefox 113.0,,,2023-05-17 11:05:12,2023-05-17 11:05:13,1.115s,PASSED
"click(findTestObject(""Object Repository/Page_Connect2Clinic/button_Login""))",Firefox 113.0,,,2023-05-17 11:05:13,2023-05-17 11:05:14,0.709s,PASSED
"click(findTestObject(""Object Repository/Page_Connect2Clinic/button_No""))",Firefox 113.0,,,2023-05-17 11:05:14,2023-05-17 11:05:17,3.373s,PASSED
"click(findTestObject(""Object Repository/Page_Connect2Clinic/button_Book Appointment""))",Firefox 113.0,,,2023-05-17 11:05:17,2023-05-17 11:05:18,0.949s,PASSED
"click(findTestObject(""Object Repository/Page_Connect2Clinic/p_In-Clinic Consultation""))",Firefox 113.0,,,2023-05-17 11:05:18,2023-05-17 11:05:19,0.684s,PASSED
delay(5),Firefox 113.0,,,2023-05-17 11:05:19,2023-05-17 11:05:24,5.047s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Connect2Clinic/button_Save  Continue""))",Firefox 113.0,,,2023-05-17 11:05:24,2023-05-17 11:05:24,0.503s,PASSED
"click(findTestObject(""Object Repository/Page_Connect2Clinic/button_Save  Continue""))",Firefox 113.0,,,2023-05-17 11:05:24,2023-05-17 11:05:25,0.686s,PASSED
"setText(findTestObject(""Object Repository/Page_Connect2Clinic/input_Mobile Number_patient_no""), ""8919396555"")",Firefox 113.0,,,2023-05-17 11:05:25,2023-05-17 11:05:27,1.959s,PASSED
delay(3),Firefox 113.0,,,2023-05-17 11:05:27,2023-05-17 11:05:30,3.012s,PASSED
"click(findTestObject(""Object Repository/Page_Connect2Clinic/h5_Sai""))",Firefox 113.0,,,2023-05-17 11:05:30,2023-05-17 11:05:31,0.680s,PASSED
"scrollToPosition(9999999, 9999999)",Firefox 113.0,,,2023-05-17 11:05:31,2023-05-17 11:05:31,0.041s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_Connect2Clinic/button_Save  Continue""))",Firefox 113.0,,,2023-05-17 11:05:31,2023-05-17 11:05:32,0.822s,PASSED
"click(findTestObject(""Object Repository/Page_Connect2Clinic/button_Save  Continue""))",Firefox 113.0,,,2023-05-17 11:05:32,2023-05-17 11:05:32,0.595s,PASSED
"click(findTestObject(""Object Repository/Page_Connect2Clinic/button_Pay at Clinic""))",Firefox 113.0,,,2023-05-17 11:05:32,2023-05-17 11:05:37,5.260s,PASSED
"click(findTestObject(""Object Repository/Page_Connect2Clinic/button_Proceed""))",Firefox 113.0,,,2023-05-17 11:05:37,2023-05-17 11:05:38,0.669s,PASSED
delay(5),Firefox 113.0,,,2023-05-17 11:05:38,2023-05-17 11:05:43,5.017s,PASSED
"click(findTestObject(""Object Repository/Page_Connect2Clinic/button_Okay""))",Firefox 113.0,,,2023-05-17 11:05:43,2023-05-17 11:06:15,31.402s,FAILED
,,,,,,,
Test Cases/Cancel Appointment - Demo,Firefox 113.0,,,2023-05-17 11:06:15,2023-05-17 11:06:50,35.141s,PASSED
"openBrowser("""")",Firefox 113.0,,,2023-05-17 11:06:15,2023-05-17 11:06:19,4.297s,PASSED
maximizeWindow(),Firefox 113.0,,,2023-05-17 11:06:19,2023-05-17 11:06:19,0.014s,PASSED
"navigateToUrl(""https://qa.c2cassets.com/doctor/login"")",Firefox 113.0,,,2023-05-17 11:06:19,2023-05-17 11:06:24,4.360s,PASSED
"setText(findTestObject(""Object Repository/Page_Connect2Clinic/input_Login to Virtual Clinic_OTP-input""), ""8072536860"")",Firefox 113.0,,,2023-05-17 11:06:24,2023-05-17 11:06:24,0.825s,PASSED
